# from http://www.magnetkern.de/spektrum.html
rgb,CIECAM02,width
8800ff,380.05,50
8700ff,430.05,0.30000000000001137
8600ff,430.35,0.2999999999999545
8500ff,430.65,0.3100000000000023
8400ff,430.96,0.3100000000000023
8300ff,431.27,0.3199999999999932
8200ff,431.59,0.32000000000005
8100ff,431.91,0.3299999999999841
8000ff,432.24,0.3299999999999841
7f00ff,432.57,0.3199999999999932
7e00ff,432.89,0.34000000000003183
7d00ff,433.23,0.3299999999999841
7c00ff,433.56,0.339999999999975
7b00ff,433.9,0.34000000000003183
7a00ff,434.24,0.3499999999999659
7900ff,434.59,0.3300000000000409
7800ff,434.92,0.3100000000000023
7700ff,435.23,0.2799999999999727
7600ff,435.51,0.30000000000001137
7500ff,435.81,0.2799999999999727
7400ff,436.09,0.3100000000000023
7300ff,436.4,0.29000000000002046
7200ff,436.69,0.30000000000001137
7100ff,436.99,0.3100000000000023
7000ff,437.3,0.30000000000001137
6f00ff,437.6,0.2999999999999545
6e00ff,437.9,0.32000000000005
6d00ff,438.22,0.2999999999999545
6c00ff,438.52,0.30000000000001137
6b00ff,438.82,0.3100000000000023
6a00ff,439.13,0.3199999999999932
6900ff,439.45,0.3100000000000023
6800ff,439.76,0.30000000000001137
6700ff,440.06,0.25
6600ff,440.31,0.25
6500ff,440.56,0.25
6400ff,440.81,0.2300000000000182
6300ff,441.04,0.2599999999999909
6200ff,441.3,0.2400000000000091
6100ff,441.54,0.2599999999999909
6000ff,441.8,0.25
5f00ff,442.05,0.2400000000000091
5e00ff,442.29,0.25
5d00ff,442.54,0.25
5c00ff,442.79,0.2599999999999909
5b00ff,443.05,0.2599999999999909
5a00ff,443.31,0.25
5900ff,443.56,0.2400000000000091
5800ff,443.8,0.2599999999999909
5700ff,444.06,0.25
5600ff,444.31,0.2599999999999909
5500ff,444.57,0.25
5400ff,444.82,0.2300000000000182
5300ff,445.05,0.19999999999998863
5200ff,445.25,0.18000000000000682
5100ff,445.43,0.18999999999999773
5000ff,445.62,0.18000000000000682
4f00ff,445.8,0.18999999999999773
4e00ff,445.99,0.17000000000001592
4d00ff,446.16,0.18999999999999773
4c00ff,446.35,0.18999999999999773
4b00ff,446.54,0.18999999999999773
4a00ff,446.73,0.16999999999995907
4900ff,446.9,0.18999999999999773
4800ff,447.09,0.17000000000001592
4700ff,447.26,0.17000000000001592
4600ff,447.43,0.19999999999998863
4500ff,447.63,0.17000000000001592
4400ff,447.8,0.18000000000000682
4300ff,447.98,0.16999999999995907
4200ff,448.15,0.18000000000000682
4100ff,448.33,0.17000000000001592
4000ff,448.5,0.18000000000000682
3f00ff,448.68,0.17000000000001592
3e00ff,448.85,0.17999999999994998
3d00ff,449.03,0.18000000000000682
3c00ff,449.21,0.18000000000000682
3b00ff,449.39,0.1500000000000341
3a00ff,449.54,0.16999999999995907
3900ff,449.71,0.1500000000000341
3800ff,449.86,0.16999999999995907
3700ff,450.03,0.12000000000000455
3600ff,450.15,0.12000000000000455
3500ff,450.27,0.11000000000001364
3400ff,450.38,0.13999999999998636
3300ff,450.52,0.12000000000000455
3200ff,450.64,0.11000000000001364
3100ff,450.75,0.12000000000000455
3000ff,450.87,0.08999999999997499
2f00ff,450.96,0.12000000000000455
2e00ff,451.08,0.11000000000001364
2d00ff,451.19,0.12000000000000455
2c00ff,451.31,0.08999999999997499
2b00ff,451.4,0.11000000000001364
2a00ff,451.51,0.12000000000000455
2900ff,451.63,0.09000000000003183
2800ff,451.72,0.07999999999998408
2700ff,451.8,0.12000000000000455
2600ff,451.92,0.08999999999997499
2500ff,452.01,0.07999999999998408
2400ff,452.09,0.12000000000000455
2300ff,452.21,0.08000000000004093
2200ff,452.29,0.08999999999997499
2100ff,452.38,0.07999999999998408
2000ff,452.46,0.09000000000003183
1f00ff,452.55,0.07999999999998408
1e00ff,452.63,0.09000000000003183
1d00ff,452.72,0.049999999999954525
1c00ff,452.77,0.08000000000004093
1b00ff,452.85,0.08999999999997499
1a00ff,452.94,0.05000000000001137
1900ff,452.99,0.07999999999998408
1800ff,453.07,0.07999999999998408
1700ff,453.15,0.05000000000001137
1600ff,453.2,0.05000000000001137
1500ff,453.25,0.07999999999998408
1400ff,453.33,0.05000000000001137
1300ff,453.38,0.05000000000001137
1200ff,453.43,0.07999999999998408
1100ff,453.51,0.040000000000020464
1000ff,453.55,0.05000000000001137
0f00ff,453.6,0.03999999999996362
0e00ff,453.64,0.05000000000001137
0d00ff,453.69,0.040000000000020464
0c00ff,453.73,0.049999999999954525
0b00ff,453.78,0.040000000000020464
0a00ff,453.82,0.009999999999990905
0900ff,453.83,0.05000000000001137
0800ff,453.88,0.040000000000020464
0700ff,453.92,0.03999999999996362
0600ff,453.96,0.05000000000001137
0500ff,454.01,0.040000000000020464
0400ff,454.05,0.009999999999990905
0300ff,454.06,0.01999999999998181
0022ff,454.08,-0.0
0023ff,454.08,0.009999999999990905
001bff,454.09,-0.0
001dff,454.09,-0.0
0020ff,454.09,-0.0
0021ff,454.09,-0.0
0024ff,454.09,-0.0
0025ff,454.09,-0.0
0028ff,454.09,0.010000000000047748
002aff,454.1,-0.0
001fff,454.1,-0.0
0019ff,454.1,-0.0
0200ff,454.1,-0.0
0026ff,454.1,-0.0
0018ff,454.1,0.009999999999990905
0027ff,454.11,-0.0
0029ff,454.11,-0.0
002cff,454.11,-0.0
001eff,454.11,-0.0
002dff,454.11,-0.0
001cff,454.11,-0.0
001aff,454.11,0.009999999999990905
002bff,454.12,-0.0
0012ff,454.12,0.009999999999990905
0011ff,454.13,-0.0
0016ff,454.13,-0.0
0015ff,454.13,-0.0
0014ff,454.13,-0.0
0017ff,454.13,0.009999999999990905
0030ff,454.14,-0.0
002fff,454.14,-0.0
002eff,454.14,-0.0
000bff,454.14,-0.0
0010ff,454.14,-0.0
0013ff,454.14,-0.0
000eff,454.14,0.009999999999990905
0031ff,454.15,-0.0
000cff,454.15,-0.0
000fff,454.15,-0.0
